ROOF AGE,Permit Number,Permit Type,Description,Address,LAT,LON
12,20130810944,Residential Roofing,TEAR OFF FLAT ROOF ON ROBBLER,"21248 WYNYARD AVE, PORT CHARLOTTE FL 33954",27.024440796057547,-82.09934231
12,20130810950,Residential Roofing,Re roof flat 22'x21' section at back of house,"1547 BEACON DR, PORT CHARLOTTE FL 33952",27.002378363960805,-82.07122037
12,20130810909,Residential Roofing,LANAI ROOF ATPO MEMBRANE ROOF SYSTEM,"7490 DANVERS CIR, PORT CHARLOTTE FL 33981",26.918439845788946,-82.21501923
12,20130810890,Residential Roofing,REROOF HOUSE USING PEEL & STICK SWR,"1068 BAY HARBOR DR, ENGLEWOOD FL 34224",26.92915312655708,-82.33034963
12,20130810852,Residential Roofing,REMOVE AND REPLACE EXISTING ROOF,"2772 CABARET ST, PORT CHARLOTTE FL 33948",26.98925591337279,-82.15686037
12,20130810757,Residential Roofing,TEAR OFF SHINGLES AND FLAT ROOF,"22480 NEW YORK AVE, PORT CHARLOTTE FL 33952",26.98706613706273,-82.07585145
12,20130810677,Residential Remodel,"FULL MASTER BATH REMODEL, RIPPED OUT EVERYTHING TO THE BARE WALLS PUTTING IN NEW TUB & TOILET& TILE & VANITY.PINT INTERIOR & EXTERIOR NEW KITCHEN CABINETS","1264 WATERSIDE ST, PORT CHARLOTTE FL 33952",27.01036458620169,-82.09502408
12,20130810671,Residential Roofing,TEAR OFF AND RE ROOF,"8225 DREW ST, ENGLEWOOD FL 34224",26.89925185,-82.31417077
12,20130810700,Residential Roofing,TEAR OFF & RE-ROOF WITH SHINGLES,"331 BOUNDARY BLVD, A, ROTONDA WEST FL 33947",26.90483249385832,-82.29323293
12,20130810613,Residential Roofing,RE ROOF,"9031 EVERINGTON RD, ENGLEWOOD FL 34224",26.900417198734797,-82.31344605
12,20130810602,Residential Roofing,RE ROOF SHINGLE & FLAT,"434 BONITA AVE, PORT CHARLOTTE FL 33952",26.985059754803366,-82.11383062
12,20130810608,Residential Lanai,PIRATES DREAM CONTINUOUS METAL WALKWAY COVER ON ENTRANCES,"3250 PLACIDA RD, ENGLEWOOD FL 34224",26.905736873092543,-82.3235932
12,20130810630,Residential Roofing,SHINGLE RE-ROOF,"6341 BIGGS ST, ENGLEWOOD FL 34224",26.93697725523518,-82.29681393
12,20130810538,Commercial Roofing,REMOVE MODIFIED ROOF & INSTALL NEW TPO ROOF,"1505 S MCCALL RD, ENGLEWOOD FL 34223",26.938348766191957,-82.34265906
